id,Name,Age,Gender,Qualification_type,Job_Type,Race,GPA,Interviewed
73,Hannis Ginley,29,,2,Training,Black,0.7,FALSE
74,Umberto Cussen,39,M,1,Legal,Other,0,TRUE
75,Rosie Cornill,38,F,5,Human Resources,White,0,FALSE
76,Benedetto Blankman,28,M,3,Legal,Other,4,TRUE
77,Derron Mowatt,53,M,5,Human Resources,Black,2.7,TRUE
78,Sandro Fairfull,23,M,5,Legal,Latino,3,FALSE
79,Waylen Geggie,23,M,3,Training,Other,2,TRUE
80,Wald Guile,49,M,5,Product Management,White,2,FALSE
81,Alisun Huyton,38,F,2,Training,White,2,TRUE
82,Tab Cowan,22,M,3,Engineering,Asian,2.3,TRUE
83,Everett Burstowe,37,M,1,Business Development,Black,0.7,FALSE
84,Irv Burrell,50,M,5,Marketing,Other,1,TRUE
85,Kakalina Bounde,47,F,5,Sales,Latino,0.7,TRUE
86,Kelsy Nellies,44,F,5,Support,Asian,1,TRUE
87,Von Wychard,47,M,5,Product Management,,3,TRUE
88,Chiquita Abramovicz,31,F,2,Support,,1,FALSE
89,Prentice Youngman,46,M,4,Training,Other,1.7,TRUE
90,Cami Dewis,22,F,2,Legal,White,3.7,TRUE
91,Luciana Snookes,29,F,2,Sales,Latino,3.3,FALSE
92,Gertrud Stickney,57,F,4,Research and Development,Asian,4,FALSE
93,Bent Woolmington,54,M,3,Accounting,Latino,2.7,FALSE
94,Clareta Gaskall,34,F,5,Engineering,Latino,3,FALSE
95,Hillard Marian,25,M,5,Training,Black,1,FALSE
96,Aaren Davidsson,41,F,4,Marketing,Black,1.3,TRUE
97,Nappie Fidelus,23,M,4,Marketing,Black,4,TRUE
98,Bertram Whitbread,44,M,2,Marketing,Black,1.7,FALSE
99,Lisabeth Scott,44,F,3,Research and Development,White,3.3,TRUE
100,Wald Le Galle,46,M,5,Marketing,Black,0,FALSE
101,Gayler Puckinghorne,47,M,3,Business Development,Asian,0,TRUE
102,Sergio Danielski,53,M,2,Business Development,Latino,1.3,FALSE
103,Elsinore Jorry,47,F,2,Legal,Asian,1.3,TRUE
104,Merrilee Masseo,56,F,2,Legal,Other,1.3,TRUE
105,Yank Hordell,22,M,3,Business Development,Latino,4,TRUE
106,Rowan Costard,47,M,2,Human Resources,Black,1.3,TRUE
107,Charis Talmadge,24,F,1,Research and Development,White,2,TRUE
108,Dani Thick,48,M,3,Human Resources,White,3,FALSE
109,Brewer Beckworth,23,M,5,Accounting,Other,2.3,FALSE
110,Margaretta Momford,52,F,3,Training,Black,4,FALSE
111,Shana Billyeald,36,F,5,Accounting,Black,1.7,TRUE
112,Terry Claworth,31,M,5,Services,Black,2.3,FALSE
113,Archambault Belton,34,M,3,Engineering,Black,2.3,TRUE
114,Bambi Dignan,60,F,2,Training,White,3.3,TRUE
115,Livia Graeser,46,F,3,Engineering,Black,2.3,TRUE
116,Adelle Durrad,29,F,2,Training,Asian,2.7,TRUE
117,Shel Stockau,31,F,2,Services,Latino,1,FALSE
118,Hildy Burgott,33,F,4,Business Development,Latino,2.7,FALSE
119,Chevy Fritche,32,M,5,Product Management,Latino,1.3,FALSE
120,Ross Wheowall,37,M,4,Services,Latino,2.3,FALSE
121,Gasper Weatherby,24,M,5,Marketing,Latino,1.3,FALSE
122,Alexis Teas,46,M,4,Sales,White,3.3,TRUE
123,Modestia Gonning,35,F,5,Sales,Asian,1.3,FALSE
124,Nanon Galvan,41,F,4,Engineering,Other,2.3,FALSE
125,Liana Mandy,56,F,5,Marketing,Asian,2,TRUE
126,Kilian MacBrearty,22,M,2,Legal,Latino,0.7,FALSE
127,Eryn Stirley,56,F,5,Legal,Black,0,FALSE
128,Aida Klimecki,33,F,2,Accounting,Other,2,TRUE
129,Marlo Fosbraey,54,F,2,Support,White,2.3,TRUE
130,Parrnell Robker,58,M,4,Accounting,Black,4,TRUE
131,Corrina Thomazet,59,F,3,Research and Development,Asian,4,FALSE
132,Kylie Cursons,42,M,1,Legal,Black,4,TRUE
133,Meyer Scrowson,35,M,2,Human Resources,Asian,1.7,TRUE
134,Morry Tallow,25,M,5,Accounting,Black,0,TRUE
135,Petronille Grimsell,43,F,4,Accounting,White,1,TRUE
136,Randene Losseljong,42,F,3,Research and Development,Latino,2.7,TRUE
137,Immanuel Mussen,55,M,1,Support,Asian,3,TRUE
138,Brnaby Skeats,45,M,3,Training,Other,1.3,FALSE
139,Pammy Mollett,29,F,4,Human Resources,Black,2,TRUE
140,Bastian Revance,52,M,5,Services,Other,1.3,TRUE
141,Briney Spirit,59,F,1,Sales,Other,2.7,FALSE
142,Gus Pestricke,35,F,3,Product Management,Other,0.7,FALSE
143,Cindy O'Hoolahan,56,F,4,Marketing,Latino,2.3,TRUE
144,Grace Fullman,60,F,2,Product Management,Black,0.7,TRUE
145,Bartie Songust,51,M,3,Services,Latino,2.7,FALSE
146,Shirleen Slyvester,30,F,4,Legal,White,1.3,TRUE
147,Hettie Jacquemard,44,F,1,Support,Other,2.7,FALSE
148,Jordain Blatchford,36,F,5,Legal,White,3.3,TRUE
149,Zaccaria Weddeburn - Scrimgeour,52,M,1,Support,Black,2,FALSE
150,Brooks Gillinghams,40,M,3,Accounting,Other,0.7,TRUE
151,Orsola Treleven,40,F,4,Services,Black,3.3,FALSE
152,Phillida Treamayne,50,F,1,Sales,Other,0.7,TRUE
153,Roosevelt Matczak,50,M,4,Legal,Other,4,FALSE
154,Whitaker Dyson,43,M,1,Sales,Latino,1.3,FALSE
155,Jerald Ford,23,M,2,Business Development,Asian,2.7,FALSE
156,Jedd Wallege,21,M,1,Human Resources,Latino,0.7,TRUE
157,Blondie Javes,23,F,2,Human Resources,Latino,2.3,TRUE
158,Minnaminnie Larvor,44,F,5,Support,Black,1,TRUE
159,Dunn Cameli,53,M,4,Human Resources,Black,3,TRUE
160,Skipper Cuseck,35,M,3,Product Management,Latino,4,FALSE
161,Reuben McKeown,59,M,3,Support,Black,2,FALSE
162,Petronella Beckford,33,F,3,Marketing,Black,4,FALSE
163,Jarrid Reuble,47,M,4,Training,White,3.3,FALSE
164,Sybil Fosdyke,34,F,5,Legal,Black,4,FALSE
165,Basia Antrim,30,F,1,Engineering,Latino,0.7,FALSE
166,Haywood Kassel,54,M,4,Training,Other,2.3,FALSE
167,Blair Nealy,53,M,2,Engineering,Other,2.7,TRUE
168,Dominica Brazelton,27,F,1,Training,Other,0.7,FALSE
169,Johnette Macey,41,F,3,Legal,Other,1.7,TRUE
170,Cesar Mulhall,27,M,2,Sales,Latino,2,TRUE
171,Jonathon Errichiello,52,M,2,Marketing,Asian,3,FALSE
172,Maggie Grealish,39,F,5,Marketing,Asian,3.3,FALSE
173,Lucinda Iacovazzi,47,F,1,Sales,Black,4,FALSE
174,Calhoun Caldes,28,M,4,Product Management,Black,3.7,TRUE
175,Bord Sheldrake,59,M,1,Accounting,Asian,1.7,FALSE
176,Ramsay Saiger,36,M,4,Support,Other,2,TRUE
177,Archaimbaud Le Frank,51,M,3,Accounting,White,3,TRUE
178,Adaline Eddolls,27,F,5,Sales,Latino,3.3,FALSE
179,Pepillo Hyam,58,M,2,Support,Black,2.7,TRUE
180,Pattie Simper,32,F,3,Marketing,Latino,1.7,TRUE
181,Laure Cammacke,57,F,5,Engineering,Latino,1.3,FALSE
182,Gusta Kondratyuk,47,F,2,Business Development,Latino,2.3,FALSE
183,Brinn Sparshott,48,F,5,Marketing,Black,3.7,FALSE
184,Merry Fancutt,60,M,5,Services,Latino,1.7,TRUE
185,Anabelle Moynham,22,F,3,Sales,White,1,FALSE
186,Debera Dunford,26,F,1,Sales,Black,4,FALSE
187,Wells Gallichiccio,51,M,3,Accounting,Other,0.7,FALSE
188,Philipa Marion,56,F,2,Sales,White,3.3,TRUE
189,Kale O'Shiels,59,M,2,Sales,White,1.3,TRUE
190,Zak Edlyne,37,M,4,Services,Latino,3.3,FALSE
191,Aldridge Dunster,58,M,2,Engineering,Asian,3.3,FALSE
192,Vittoria Summers,46,F,2,Research and Development,Black,2,TRUE
193,Osmond Deehan,38,M,3,Support,Asian,1,TRUE
194,Rourke Bridge,52,M,3,Human Resources,Black,2,FALSE
195,Genovera Venturoli,36,F,4,Support,Other,1.7,TRUE
196,Abbott Niche,45,M,1,Business Development,Asian,1.7,FALSE
197,Vinny Fugere,57,M,4,Engineering,White,3.3,FALSE
198,Collie Stockley,53,F,2,Legal,White,0.7,FALSE
199,Timmie Orchard,26,M,2,Legal,White,1.3,TRUE
200,Hedwiga Skirvin,40,F,2,Business Development,White,0.7,TRUE
201,Dale Matzke,52,M,5,Human Resources,Asian,4,FALSE
202,Koren Schriren,55,F,4,Research and Development,Latino,1,TRUE
203,Rebekkah Langcaster,52,F,2,Business Development,Asian,2.3,FALSE
204,Cyrus Aymeric,25,M,2,Engineering,Black,2.3,TRUE
205,Leonhard Grimbaldeston,58,M,1,Engineering,Black,0,FALSE
206,Cassondra Ziehms,34,F,4,Research and Development,Asian,2.7,FALSE
207,Myrta Woolen,52,F,3,Engineering,Asian,1,FALSE
208,Norrie Hanwright,39,M,2,Sales,Other,3.7,FALSE
209,Cirillo Janda,36,M,5,Accounting,White,2,FALSE
210,Stacee Strainge,35,F,5,Research and Development,Other,1,FALSE
211,Rickard Pfeffel,37,M,4,Research and Development,White,1,TRUE
212,Jeth Mc Dermid,54,M,1,Marketing,Asian,4,FALSE
213,Marwin Dunsleve,57,M,1,Legal,White,0,FALSE
214,Kelvin Thurske,58,M,1,Services,Latino,3.7,FALSE
215,Niven Izzatt,31,M,3,Legal,Other,1.3,FALSE
216,Bethanne Axelbee,38,F,3,Product Management,Asian,3.7,TRUE
217,Ty Gawthrop,27,M,1,Human Resources,Asian,4,TRUE
218,Sumner Franken,45,M,2,Services,White,1.7,FALSE
219,Thibaut Rohloff,58,M,4,Marketing,Black,4,FALSE
220,Guthry MacIver,43,M,4,Sales,Other,3.3,FALSE
221,Broderick George,31,M,5,Engineering,Latino,1,FALSE
222,Mildrid Rubenovic,52,F,1,Marketing,White,2.7,FALSE
223,Ellswerth Gerrie,42,M,1,Engineering,White,1.7,FALSE
224,Olva MacGow,45,F,3,Support,Other,0.7,TRUE
225,Bryan Itshak,49,M,2,Legal,Asian,1,TRUE
226,Christalle Faas,34,F,2,Research and Development,Latino,2.7,FALSE
227,Siana Stops,42,F,2,Business Development,Latino,1.7,TRUE
228,Gene Hastilow,59,M,5,Sales,White,2.3,TRUE
229,Lanny Charlton,27,F,4,Services,Black,1,FALSE
230,Amanda Rosenfarb,53,F,5,Training,Asian,1.3,TRUE
231,Leone Smoth,25,F,1,Marketing,Other,1.7,TRUE
232,Cass Raycroft,49,M,1,Support,White,0,FALSE
233,Rosalia Broune,57,F,5,Human Resources,Latino,3.3,TRUE
234,Ruperto Meatcher,52,M,3,Research and Development,Black,1.7,FALSE
235,Bianka Sherrin,50,F,4,Sales,Latino,2.3,TRUE
236,Gonzalo Staniland,38,M,1,Research and Development,Black,0.7,FALSE
237,Aguie Clarkin,23,M,1,Services,Asian,3.7,TRUE
238,Huntington Dallemore,39,M,2,Marketing,White,2,FALSE
239,Bary Ilyinski,58,M,1,Sales,Other,0,FALSE
240,Luce Klezmski,39,F,5,Training,Black,3.3,FALSE
241,Easter Amberson,60,F,3,Training,Asian,3.3,FALSE
242,Richart Hamshere,53,M,3,Research and Development,Asian,1,TRUE
243,Jackie Meier,48,M,5,Support,Black,2.3,TRUE
244,Drusy Skate,37,F,2,Accounting,Asian,1.3,TRUE
245,Krysta Escalera,54,F,3,Training,White,0.7,FALSE
246,Cyrillus Bulle,22,M,4,Sales,Latino,0,FALSE
247,Corinna Pactat,27,F,5,Engineering,Other,2,TRUE
248,Joletta Futty,52,F,5,Services,Other,1.7,FALSE
249,Trefor Welling,48,M,1,Product Management,Other,3,FALSE
250,Davida Van Schafflaer,32,F,5,Accounting,Other,0.7,TRUE
251,Reilly Fedder,42,M,4,Research and Development,Latino,2.7,FALSE
252,Shannah Falkous,54,F,4,Services,Other,1.3,FALSE
253,Philippine Sine,37,F,1,Services,Other,0.7,TRUE
254,Katharyn Arro,35,F,1,Legal,White,0.7,FALSE
255,Floris Hutcheons,59,F,2,Business Development,White,3,FALSE
256,Josi Power,57,F,2,Marketing,Asian,0,FALSE
257,Melesa Mushawe,41,F,4,Human Resources,Black,2.7,TRUE
258,Cary Beattie,45,M,4,Legal,Other,0.7,TRUE
259,Gillian Kmicicki,43,F,3,Marketing,White,4,FALSE
260,Parrnell Mechell,32,M,1,Legal,Latino,3,TRUE
261,Amie Coverlyn,33,F,1,Legal,White,0.7,FALSE
262,Fifine Trodler,52,F,1,Business Development,Latino,3,TRUE
263,Chastity Andrzejowski,40,F,2,Support,White,1.7,FALSE
264,Felic Cavie,29,M,5,Human Resources,White,3.3,FALSE
265,Jake Philipet,22,M,3,Human Resources,Asian,2.3,TRUE
266,Mella Beedham,42,F,2,Services,Other,0.7,FALSE
267,Garv Seager,52,M,4,Accounting,Black,2.7,TRUE
268,Ugo Tooby,52,M,5,Business Development,White,1,FALSE
269,Rey Gabbitus,27,F,4,Marketing,Latino,0,FALSE
270,Shel Bankhurst,33,F,1,Marketing,Other,2,TRUE
271,Sammie Delnevo,39,M,5,Legal,Other,0,FALSE
272,Lucias Morrieson,59,M,5,Research and Development,White,3.3,FALSE
273,Farrand Emlen,35,F,5,Support,White,3.3,FALSE
274,Rurik Varley,41,M,2,Research and Development,White,3.7,TRUE
275,Sibyl Crighton,23,M,4,Support,Other,2.3,TRUE
276,Saunderson Yakobowitz,36,M,1,Human Resources,Asian,2,FALSE
277,Mar Tebbs,33,M,4,Legal,Black,4,TRUE
278,Tiffanie Stirrip,50,F,3,Support,Black,2,FALSE
279,Krysta Reinert,60,F,3,Support,Asian,1,TRUE
280,Jayne Roles,26,F,4,Services,Other,1.3,FALSE
281,Filmore Bannard,35,M,2,Research and Development,Asian,1,TRUE
282,Danna Peltzer,27,F,3,Training,Latino,0,TRUE
283,Emyle Dingate,23,F,4,Legal,Asian,3.7,TRUE
284,Margaretta Kenwright,37,F,5,Human Resources,Asian,4,FALSE
285,Alfred Neasam,50,M,5,Training,Other,4,TRUE
286,Dorey Crotty,27,M,1,Marketing,Black,1.7,FALSE
287,Ingelbert Cundy,45,M,4,Legal,Latino,3.7,FALSE
288,Mariejeanne Gravy,50,F,1,Sales,Latino,0,TRUE
289,Patrizio Dredge,50,M,3,Research and Development,Asian,3.7,FALSE
290,Hulda Harriot,39,F,3,Marketing,Asian,3,TRUE
291,Ruddy Dalgety,44,M,3,Research and Development,Asian,3,TRUE
292,Rani Deniskevich,59,F,3,Product Management,Black,0.7,FALSE
293,Tiphani Goffe,42,F,5,Accounting,Latino,1.7,TRUE
294,Darlleen Klosser,40,F,4,Business Development,Latino,3.7,TRUE
295,Casi Blakes,39,F,3,Business Development,Asian,4,FALSE
296,Dorice Di Iorio,48,F,1,Legal,Other,1.7,FALSE
297,Wilbur Simcox,38,M,2,Sales,Other,2.3,TRUE
298,Glori Ramble,26,F,2,Training,Latino,1.7,FALSE
299,Rochester Sindall,40,M,4,Support,Black,4,TRUE
300,Godiva Schoales,21,F,1,Research and Development,Black,1.7,TRUE
301,Patience Oleszkiewicz,21,F,4,Sales,Asian,2,FALSE
302,Cassi Wanka,34,F,3,Human Resources,White,4,FALSE
303,Berky Harrowing,40,M,3,Accounting,Asian,3.7,FALSE
304,Carey Dupey,22,F,2,Research and Development,Other,2.7,FALSE
305,Reid Bampton,36,M,4,Engineering,Other,3,FALSE
306,Arv Pudsall,23,M,5,Sales,Black,2,TRUE
307,Ambros Benko,31,M,1,Services,Black,1,TRUE
308,Rochell Scorah,48,F,1,Marketing,Latino,0.7,FALSE
309,Viviana Roskelly,47,F,5,Marketing,Latino,3.3,FALSE
310,Tonye Coneley,59,F,4,Services,Latino,2,TRUE
311,Olympia Gasnell,53,F,2,Engineering,White,0,TRUE
312,Kathlin McKeveney,57,F,4,Marketing,White,1,FALSE
313,Dasya Mewis,26,F,5,Support,Black,1,FALSE
314,Jeffie Acaster,56,M,5,Services,Black,3.3,FALSE
315,Duffie Frary,52,M,1,Support,Latino,3,FALSE
316,Minni Figgins,32,F,4,Human Resources,Asian,2.7,TRUE
317,Dennet Mourant,32,M,1,Legal,Asian,3.7,TRUE
318,Ashlen Wombwell,52,F,5,Legal,Other,1.3,TRUE
319,Rodger Emmer,26,M,3,Engineering,Asian,3.3,FALSE
320,Tiebold Golborne,53,M,4,Human Resources,White,2,FALSE
321,Karlens Tonnesen,38,M,4,Product Management,Latino,4,FALSE
322,My Crighton,34,M,2,Research and Development,Other,1,TRUE
323,Stacy Baskeyfied,34,F,4,Accounting,Asian,1.7,FALSE
324,Virginia Quenby,42,F,4,Accounting,Other,4,TRUE
325,Maurene Shotter,34,F,1,Product Management,White,0.7,FALSE
326,Aguistin Timmermann,39,M,2,Support,Asian,2,FALSE
327,Gothart Ruhben,48,M,5,Research and Development,Black,2.7,TRUE
328,Gardener Grestie,43,M,3,Business Development,Black,3.7,TRUE
329,Budd Billsberry,41,M,4,Product Management,Other,3.3,TRUE
330,Jacky Fison,32,F,3,Research and Development,Black,1.3,FALSE
331,Martica Esch,51,F,4,Product Management,Asian,1,FALSE
332,Sid Grzelak,21,M,3,Business Development,Other,0,FALSE
333,Toni Nelmes,32,F,3,Sales,Black,3.7,FALSE
334,Cletis Cosham,48,M,1,Engineering,Latino,4,TRUE
335,Hebert Ramsey,53,M,2,Product Management,Other,1,TRUE
336,Raf Vogeler,40,F,5,Support,Latino,3.3,FALSE
337,Loydie Ohms,43,M,5,Engineering,White,3.3,TRUE
338,Valentine Crowcroft,36,M,5,Services,Asian,2,FALSE
339,Marlon Lepere,31,M,4,Engineering,White,2,TRUE
340,Gordy Elderkin,53,M,5,Legal,Black,1,FALSE
341,Gibb Ahrenius,41,M,3,Business Development,Black,3.3,FALSE
342,Hugues Longega,55,M,3,Accounting,Black,1.7,FALSE
343,Alysa Vittle,45,F,4,Sales,White,3.3,FALSE
344,Troy Percifull,24,M,4,Marketing,Other,2.3,FALSE
345,Karina Frounks,53,F,1,Research and Development,Asian,3.3,FALSE
346,Valery Bickle,40,F,3,Sales,Latino,2.3,TRUE
347,Raoul Flement,37,M,5,Accounting,Other,3.3,FALSE
348,Delainey Tompkinson,54,M,2,Research and Development,Asian,1,FALSE
349,Denis Seggie,46,M,3,Services,Asian,2.3,TRUE
350,Gratia Antonovic,55,F,2,Marketing,Latino,2,FALSE
351,Wendeline Blunt,23,F,2,Support,White,0,TRUE
352,Dori Droogan,55,F,2,Accounting,White,4,FALSE
353,Cherri Buyers,29,F,5,Support,Black,2,TRUE
354,Elnar Garman,36,M,3,Services,Latino,3,FALSE
355,Bebe Botwood,48,F,1,Research and Development,Black,2,TRUE
356,Elston Ollier,54,M,4,Marketing,White,3.7,TRUE
357,Lock Reston,43,M,3,Sales,Latino,3,FALSE
358,Kipp Blaxill,32,M,2,Research and Development,Other,0.7,TRUE
359,Helenka Copsey,51,F,3,Marketing,White,3.7,FALSE
360,Babara Fitzpayn,44,F,1,Business Development,Latino,3.3,TRUE
361,Quentin Al Hirsi,43,M,3,Marketing,Black,3.7,TRUE
362,Anett Whitmore,21,F,1,Legal,White,1,TRUE
363,Hugues Elwood,54,M,5,Business Development,Latino,1.3,TRUE
364,Mendy Maren,43,M,3,Engineering,Asian,3,FALSE
365,Rodolfo Isles,33,M,1,Training,Latino,0.7,FALSE
366,Nathanial Deverson,52,M,5,Business Development,Asian,2.3,TRUE
367,Ethyl Charrington,31,F,2,Human Resources,Asian,2.3,FALSE
368,Hector Serot,45,M,1,Training,Latino,1,TRUE
369,Norah Farman,56,F,2,Research and Development,Black,3.3,TRUE
370,Humberto Martinot,46,M,3,Sales,Other,2.7,FALSE
371,Carver Carabine,25,M,2,Product Management,Black,0,FALSE
372,Rancell Maytum,22,M,3,Support,Black,2.3,TRUE
373,Chrisy Donoghue,46,M,5,Business Development,Asian,1.7,TRUE
374,Lilla Vaney,57,F,5,Research and Development,Other,2.3,TRUE
375,Johnathon Pauletto,47,M,1,Marketing,Asian,2.7,TRUE
376,Edmon Hutchings,59,M,4,Research and Development,Black,3.7,FALSE
377,Gal Geroldini,49,M,2,Engineering,Latino,0.7,TRUE
378,Sibilla Langsdon,50,F,5,Support,Latino,2,FALSE
379,Silvana Romaynes,32,F,1,Training,Asian,2,FALSE
380,Hewett Lightbourn,33,M,4,Human Resources,White,4,TRUE
381,Rance Donnachie,27,M,5,Accounting,Other,3.7,FALSE
382,Corney Hallett,60,M,1,Sales,Other,1,FALSE
383,Randie Ferdinand,23,F,1,Services,White,3.7,TRUE
384,Lucho Bamfield,41,M,4,Legal,Asian,1,FALSE
385,Stinky Tanner,43,M,2,Engineering,Asian,4,FALSE
386,Harlin MacCosty,48,M,3,Marketing,Black,0,FALSE
387,Robinetta Giovanetti,33,F,1,Legal,White,3.3,FALSE
388,Caldwell Glinde,24,M,4,Engineering,White,2.3,FALSE
389,Garek Astbery,45,M,2,Human Resources,Asian,3.7,TRUE
390,Even Charville,32,M,5,Human Resources,White,1.3,FALSE
391,Ase Gumley,36,M,5,Training,Black,4,FALSE
392,Cristabel Cringle,56,F,4,Human Resources,White,3.7,TRUE
393,Viva Childs,43,F,1,Support,Other,3,TRUE
394,Javier Andress,21,M,4,Research and Development,Asian,1,TRUE
395,Roley Autie,48,M,3,Engineering,White,1.3,TRUE
396,Joline Heintze,30,F,1,Training,Asian,0,FALSE
397,Harriot Rossetti,23,F,5,Marketing,White,1,FALSE
398,Brigitte Maytom,51,F,1,Product Management,Asian,3.7,TRUE
399,Barbara-anne Padgham,49,F,2,Legal,Latino,3.7,TRUE
400,Trevar Buckler,48,M,4,Business Development,White,2,TRUE
401,Mildred Camerello,47,F,3,Business Development,Other,1,FALSE
402,Virgil Alltimes,37,M,4,Legal,Other,0.7,TRUE
403,Natty Troni,42,F,2,Engineering,Black,4,FALSE
404,Miltie Quest,53,M,5,Training,White,1.3,TRUE
405,Barri Jirasek,27,M,1,Accounting,Latino,3,TRUE
406,Robena Skryne,43,F,4,Research and Development,Other,1.7,TRUE
407,Danika Millwall,57,F,3,Support,Black,0,TRUE
408,Olag Guiden,36,M,2,Legal,Other,1.3,TRUE
409,Erinn Chsteney,58,F,3,Engineering,White,4,TRUE
410,Blondell Coulsen,23,F,3,Research and Development,White,2,FALSE
411,Massimo Rawlyns,43,M,5,Product Management,Black,3.3,FALSE
412,Ferne Deeson,22,F,3,Research and Development,Other,2.3,TRUE
413,Humfrey Wyman,36,M,4,Research and Development,White,2.7,TRUE
414,Waldemar Brittlebank,39,M,5,Engineering,Other,2.7,TRUE
415,Kitti Deer,40,F,5,Services,Black,4,FALSE
416,Vivianna De Francesco,50,F,5,Support,White,1,FALSE
417,Barnebas Grimsell,27,M,4,Marketing,White,1.3,FALSE
418,Annemarie Pillman,49,F,3,Research and Development,Asian,3.7,FALSE
419,Chalmers Whyte,33,M,1,Business Development,Asian,3.7,TRUE
420,Adara Giorgeschi,29,F,2,Training,Black,2.3,TRUE
